State,HomeValue
ID,351390.9099077033
MN,317098.53102570336
AZ,268012.79916854744
OK,193740.6944379588
IN,234622.0447305893
CO,467272.0586314048
NY,191969.03400667864
KY,165627.2015126345
IA,167678.73981614684
ID,636984.3853222056
KY,246171.8011455135
OH,214731.3455885788
IN,245300.41553856435
PA,173263.10094543218
MN,266279.9725636384
OH,234263.3299521164
IN,218557.7409386883
ID,318919.5324095588
OK,220411.3587816509
GA,138015.1751420611
LA,117976.46160571078
GA,302537.3836102711
MI,199036.41052483147
GA,206854.68117495024
AR,181795.54391094297
MS,64396.471760893335
IA,130669.467607147
KY,138851.69175320034
WI,291711.7606774275
WI,247603.61274354893
MS,166097.38851893562
IN,199738.1656083308
NC,240345.91566934725
IL,140967.20699431511
AR,217549.70594978437
MO,208730.14895323964
MI,193410.41249286244
NC,263039.97136599827
PA,177587.97376828574
WA,509576.3776849974
OK,102337.42962017911
TN,229468.4200817461
OK,138267.3621496771
TX,215460.34570931812
MN,266980.96525247506
NC,122843.75430878904
IA,190368.22573896628
PA,264863.9830849913
IN,231812.50234647212
OK,130499.73789401246
MO,172434.56891427553
GA,214895.10814129224
NC,181561.37186887136
SD,221654.4985074521
WY,280100.3781051788
KS,226939.1273775696
TX,314199.7124249894
OH,249482.61470914836
OH,229787.71993276765
OH,142735.24851683874
MI,159119.76579527612
TX,199321.44235398265
AR,220314.95713296268
TX,306288.7362995202
GA,185846.42364937975
AR,91558.13655072633
TN,244022.58732804924
OR,522542.0272187244
PA,108862.94399301536
NM,304043.94382386154
MS,99790.55054295354
VA,122305.47283843864
IA,161192.47180245302
MI,210829.41515661427
MN,187459.68530804187
PA,215104.13119070596
MO,206686.1198630162
FL,279188.3109195761
MI,168246.22487898648
ID,451472.6290570985
FL,274084.0079528161
WY,316588.8823616452
AR,120645.96476523344
AL,75788.55795429247
KS,128810.72883985694
MO,186261.4669621192
PA,138950.70091855133
MN,335182.38276671426
OH,231498.4955019846
MS,89257.96327704236
OH,147977.66394134104
ND,317065.8297916285
OH,178936.14900806957
MO,147860.42778191087
AZ,274440.9901856409
IL,114764.47468799986
OK,171924.86917968295
TX,186983.69344110752
IN,209604.81171020647
IN,156903.8056614589
NE,184973.40378081644
LA,162535.15403291862
SC,230101.41174329352
PA,184554.48807079223
IL,102291.614922498
MD,480776.3573095312
MN,282384.2186134366
IL,106709.2556439935
WY,369267.0849124165
KY,99169.6938966193
NE,228325.9533524385
VT,372294.78721115744
MI,172083.24564174103
KY,177822.9219082142
TN,162144.56123508353
MI,176660.90810303445
KY,145548.41359710574
NC,593899.262324755
TX,251670.72871533144
MN,280142.32948047266
OH,163160.72147105
IN,192276.87566223004
LA,158394.60501062789
IN,146716.29261818097
TX,207537.43506155408
NE,203970.11664026443
IN,144830.9471099245
IL,146143.69213669616
MO,217050.44126097317
TN,224364.2941412705
IN,222393.09356315387
GA,166381.9181336303
TX,333888.39913377777
UT,329793.4718241827
IA,123300.83666215342
MT,274996.4896878801
MS,151152.0863190523
MS,177544.1300388778
KS,164783.4975404916
WY,1479448.5804329738
TX,134228.94150463477
IL,200638.3252858354
KS,203840.4127857166
SD,327108.7977790402
IN,305608.9043281637
IL,162722.7821399672
NC,135224.35446538785
NM,437164.0812996204
SD,296163.54998328345
GA,125058.15683539108
NE,269132.9119410758
IL,110290.67483695368
FL,253252.7210642897
TN,315941.41403357085
NY,205527.54666653692
ND,289869.4336424425
IN,217899.6633813474
AL,164899.9033096223
AR,156161.27450277188
IN,201251.2317519004
IN,217357.91148572275
NC,454095.41903692594
CA,230924.893462162
TN,175867.18886382246
TX,116702.6560838485
TN,244175.8947647427
OH,120806.29266128864
MD,261236.62241717463
TN,195919.9506396741
AK,487535.03076955583
KS,88393.54510463844
NM,222163.75476043325
NH,249065.28910198197
MS,125478.16989744113
NE,198276.08390894448
TX,153094.79914301643
TX,141400.90285692026
IN,178023.30997107577
CO,990357.026688588
MN,179529.28824638436
WY,429819.334049331
TN,147913.8818331811
OK,124635.4865414924
MI,165721.538067379
GA,196187.31362085624
KS,206871.26106635187
MO,172759.24384099824
MI,249505.19525083705
GA,158990.1003680737
MI,174819.1523261851
OH,219569.7963757757
KS,230156.62829765852
CO,343416.6770449968
OH,174385.31960454272
MO,83957.29915578956
OK,159286.44744308584
ID,344687.26772478776
TX,251047.6416871047
IL,123839.7333809108
NM,188432.6329616753
WV,156435.87810161078
IL,91167.90243104142
AR,96826.8268052656
CA,363961.3757095101
IN,205273.31471610608
GA,175008.56744707678
NM,139681.74480280405
SC,84129.91998612478
TX,528045.9869945677
GA,217801.81762490145
OR,394185.80003274087
IN,232650.83628771172
MS,95821.0719471814
OR,310796.3936998651
KS,232425.12871130332
MN,221546.7563375344
NE,197008.86502875536
KS,111084.45178279471
SD,426988.6767448071
FL,218853.54947144425
MN,206996.68016602696
NM,137222.62029035404
MO,164291.53588573076
NV,368820.6944863353
OK,106121.81563600368
TX,186570.5720641931
ID,952921.9336914312
CO,1107496.6967656324
GA,163237.38344246414
MO,163754.95274390958
KY,81603.08966053807
OK,119140.01903878896
OR,460749.1259379666
OR,681226.3145663901
AR,73950.0757950165
IN,149582.7918203655
SD,245985.8607549936
MO,161972.45855672928
OR,475390.7736260523
SD,263420.9054228826
ND,205951.4052064632
AR,125839.4214846528
OK,137201.85005839367
KS,139188.96312344837
MN,215963.82767194192
IA,179997.06725167646
TX,89201.59235315253
MS,49711.59564084278
CO,254183.91291571897
NE,186538.43426302177
ND,204194.9871063112
TX,157521.523472495
MS,119977.14386553064
MO,204771.3613747242
AR,146049.32295091354
TX,169680.25885701497
OK,152885.9458084139
TX,103105.20320716864
SD,281658.2197193974
SD,202307.1633696128
IA,187325.2634054301
GA,126626.20932871294
WY,315556.5451348436
TX,103698.68891038623
TX,200281.24134349023
WA,299825.53278088296
MA,1521551.1450172004
KS,88665.32069433706
UT,257049.47964634444
NM,144863.37233073066
NM,564651.8106393053
TX,160930.5111709713
TX,225082.0306345957
IA,390938.44182123645
GA,114213.00034437304
NV,314098.1929852725
KY,152620.87265068255
TX,124807.58133244015
AR,46609.69430957946
IA,183137.69326678023
KS,163874.38483691894
IA,176079.29103963322
SD,255411.4863400236
TX,108663.6581161028
TX,152717.74602023765
TX,119439.17665410286
AK,389885.01326962747
CO,289940.6771405519
TX,87762.11131118756
TX,87869.12785062949
